,Ano de exibição,Título da obra,Gênero,País(es) produtor(es) da obra,Nacionalidade da obra,Empresa distribuidora,Origem da empresa distribuidora,Público no ano de exibição,Renda (R$) no ano de exibição
201,2019,Detetives do Prédio Azul 2 - O Mistério Italiano,Ficção,Brasil,Brasileira,Paris,Distribuição Nacional,442552.0,5690622.0
202,2019,Deus Não Esta Morto: Uma Luz Na Escuridão,Ficção,Estados Unidos,Estrangeira,Califórnia,Distribuição Nacional,216.0,1572.0
204,2019,Diamantino,Ficção,"Brasil, França, Portugal",Brasileira,Vitrine Filmes,Distribuição Nacional,1630.0,19725.0
205,2019,Diante Dos Meus Olhos,Documentário,Brasil,Brasileira,Pique-Bandeira Filmes,Distribuição Nacional,157.0,1379.0
206,2019,Dias Vazios,Ficção,Brasil,Brasileira,Olhar Distribuição,Distribuição Nacional,1456.0,16511.0
207,2019,Divaldo – O Mensageiro Da Paz,Ficção,Brasil,Brasileira,Disney,Distribuição Internacional,430704.0,6807617.0
208,2019,Divinas Divas,Documentário,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,1.0,15.0
209,2019,Divino Amor,Ficção,"Brasil, Dinamarca, Noruega, Uruguai",Brasileira,Vitrine Filmes,Distribuição Nacional,35730.0,445821.0
210,2019,Diz A Ela Que Me Viu Chorar,Documentário,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,1952.0,14054.0
211,2019,Diários De Classe,Documentário,Brasil,Brasileira,Elo Company,Distribuição Nacional,1907.0,16559.0
212,2019,Djon África,Ficção,"Brasil, Cabo Verde, Portugal",Brasileira,Vitrine Filmes,Distribuição Nacional,52.0,156.0
213,2019,Dogman,Ficção,"França, Itália",Estrangeira,Arteplex,Distribuição Nacional,5277.0,88823.0
214,2019,Dois Papas,Ficção,"Argentina, Estados Unidos, Itália, Reino Unido",Estrangeira,O2 Play,Distribuição Nacional,17767.0,295113.0
215,2019,Domingo,Ficção,"Brasil, França",Brasileira,Arthouse,Distribuição Nacional,2666.0,33405.0
216,2019,Dor E Glória,Ficção,Espanha,Estrangeira,Universal,Distribuição Internacional,219945.0,4159543.0
217,2019,Dora E A Cidade Perdida,Ficção,"Austrália, Estados Unidos",Estrangeira,Paramount,Distribuição Internacional,594019.0,8909795.0
218,2019,Doutor Sono,Ficção,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,301443.0,4900013.0
219,2019,Downtown Abbey,Ficção,Reino Unido,Estrangeira,Universal,Distribuição Internacional,107645.0,2469095.0
220,2019,Dragon Ball Super: Broly,Animação,Japão,Estrangeira,Fox,Distribuição Internacional,1293065.0,18119055.0
222,2019,Duas Rainhas,Ficção,Reino Unido,Estrangeira,Universal,Distribuição Internacional,81549.0,1778642.0
223,2019,Duda E Os Gnomos,Animação,Estados Unidos,Estrangeira,Imagem,Distribuição Nacional,297.0,2508.0
224,2019,Dumbo,Ficção,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,1849624.0,29682018.0
225,2019,El Hombre Que Cuida,Ficção,"Brasil, Porto Rico, República Dominicana",Brasileira,Esfera Produções,Distribuição Nacional,491.0,6906.0
226,2019,"Ela Disse, Ele Disse",Ficção,Brasil,Brasileira,Imagem,Distribuição Nacional,244984.0,3457573.0
227,2019,Elegia De Um Crime,Documentário,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,866.0,7323.0
228,2019,Eleições,Documentário,Brasil,Brasileira,Olhar Distribuição,Distribuição Nacional,2675.0,22088.0
230,2019,Em Chamas,Ficção,Coréia do Sul,Estrangeira,Pandora Filmes,Distribuição Nacional,3012.0,41422.0
231,2019,Em Trânsito,Ficção,"Alemanha, França",Estrangeira,Supo Mungam Films,Distribuição Nacional,774.0,10802.0
232,2019,Emma E As Cores Da Vida,Ficção,"França, Itália, Suíça",Estrangeira,Espaço Filmes,Distribuição Nacional,8807.0,137958.0
233,2019,Encantado,Animação,"Canadá, Estados Unidos",Estrangeira,Imagem,Distribuição Nacional,785.0,7276.0
234,2019,Encontro De Casais,Ficção,Estados Unidos,Estrangeira,Universal,Distribuição Internacional,52.0,1874.0
235,2019,Encontros,Ficção,França,Estrangeira,Imovision,Distribuição Nacional,25535.0,444556.0
236,2019,Entardecer,Ficção,"França, Hungria",Estrangeira,Califórnia,Distribuição Nacional,16598.0,291788.0
237,2019,Entre Facas E Segredos,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,470691.0,8330101.0
238,2019,Entre Tempos,Ficção,Itália,Estrangeira,Cineart Filmes,Distribuição Nacional,5697.0,92075.0
239,2019,Entrevista Com Deus,Ficção,Estados Unidos,Estrangeira,Imagem,Distribuição Nacional,127.0,1485.0
240,2019,Era O Hotel Cambridge,Ficção,"Brasil, Espanha, França",Brasileira,Vitrine Filmes,Distribuição Nacional,52.0,270.0
241,2019,Era Uma Vez Em Hollywood,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,737582.0,14332441.0
242,2019,Era Uma Vez Um Deadpool,Ficção,Estados Unidos,Estrangeira,Fox,Distribuição Internacional,10076.0,138360.0
